ax,ay,az,gx,gy,gz
-15498,-2072,4538,-2708,-316,-520
-15414,-2308,4132,-2286,-44,-560
-15352,-2146,4358,-1794,148,-568
-15226,-1794,4096,-816,-66,-502
-15356,-1980,3704,120,48,-632
-15764,-1964,3588,680,178,-792
-16368,-2284,2964,1008,480,-648
-16694,-2656,2958,964,1322,-456
-16494,-3180,3346,894,1696,66
-16210,-3294,2816,840,1420,206
-15882,-2514,2878,702,1538,156
-15532,-1798,3306,1024,1380,188
-15168,-1092,3342,1384,996,200
-14742,-184,3370,2300,276,508
-14410,-190,3594,2820,-324,1184
-14370,-602,3200,3368,-764,1974
-14742,-860,3252,3798,-870,2640
-15206,-744,3258,4268,-798,3002
-15156,136,3310,4784,-468,3572
-15670,-850,4294,4928,226,4050
-16318,156,5718,5272,684,4044
-16798,-542,5656,5320,178,4170
-18114,-2902,5328,5092,-230,3414
-18160,-4144,4810,4422,-138,2340
-16542,-3392,4434,3644,240,1154
-14374,-1212,5242,3144,-376,580
-13616,-410,4998,3672,-1680,946
-13770,566,4686,4210,-2518,1168
-14418,1414,4772,3980,-2820,816
-16064,1110,5326,3682,-2508,774
-17956,64,5258,3418,-2152,826
-18884,-512,4320,2554,-1460,806
-17970,250,3578,1394,36,1148
-16630,1252,4084,950,1122,1804
-15500,1916,4752,1348,1016,2596
-14882,2248,4924,1330,-44,2728
-15314,2152,4598,1332,-1272,2542
-16318,2056,3784,1112,-1230,2180
-16344,2076,3964,1188,-530,2156
-16004,2208,4652,1386,-50,2270
-15810,2032,4148,1120,-376,2320
-16002,2346,3434,904,-306,2454
-16212,3088,3656,760,596,2386
-16242,3222,3868,484,1246,2302
-16048,3048,3530,-434,1268,2224
-15478,2400,2914,-1416,1334,2136
-14574,2136,3394,-2416,1122,1972
-14562,2560,3964,-2966,386,1700
-15568,3476,3904,-3174,-78,1366
-16226,4358,3858,-3116,172,994
