ax,ay,az,gx,gy,gz
-16100,-670,3380,106,-192,12
-16184,-598,3340,104,-242,0
-16176,-634,3372,72,-214,-8
-16192,-584,3444,72,-178,-12
-16096,-618,3444,74,-184,-18
-16096,-656,3466,50,-198,-8
-16110,-578,3430,70,-222,-24
-16128,-506,3448,150,-190,-50
-16036,-590,3554,190,-144,-18
-16048,-664,3538,198,-150,-2
-16080,-640,3518,190,-168,-4
-16152,-636,3556,180,-124,-8
-16104,-632,3542,178,-74,6
-16132,-648,3536,158,-32,18
-16154,-676,3576,110,-58,42
-16174,-680,3466,78,-48,50
-16182,-626,3498,78,8,64
-16184,-606,3492,56,20,48
-16176,-614,3456,40,62,60
-16116,-726,3438,-2,66,60
-16100,-620,3480,-40,66,52
-16138,-546,3470,-44,78,48
-16082,-544,3432,-28,124,70
-16050,-602,3470,-66,106,70
-16144,-608,3454,-100,58,46
-16138,-472,3396,-60,138,34
-16072,-494,3464,-38,174,56
-16068,-592,3444,-60,138,50
-16072,-644,3422,-84,118,54
-16150,-650,3380,-116,82,52
-16228,-522,3326,-98,144,46
-16200,-472,3400,-68,194,50
-16110,-544,3438,-46,142,32
-16044,-592,3416,-28,102,0
-16066,-592,3376,-12,110,4
-16140,-574,3364,20,118,26
-16174,-556,3334,44,172,44
-16170,-602,3366,58,190,38
-16096,-588,3344,62,112,6
-16082,-570,3284,42,70,-2
-16138,-622,3352,40,90,56
-16206,-642,3242,-20,68,46
-16170,-618,3252,-8,124,34
-16128,-582,3274,-4,150,16
-16190,-606,3232,-18,104,24
-16206,-574,3246,-18,104,30
-16096,-546,3304,-32,142,20
-16046,-604,3312,-26,114,32
-16116,-580,3266,-34,62,-8
-16214,-512,3276,-58,76,22
