ax,ay,az,gx,gy,gz
-2346,968,-16682,54,-38,14
-2172,1116,-16098,64,-10,18
-2274,1054,-16392,10,-40,10
-2182,1064,-16114,78,-4,4
-2258,1106,-16174,-12,-54,4
-2222,1068,-16122,62,0,6
-2222,1040,-16058,6,-30,14
-2212,1054,-16156,40,-8,16
-2252,1054,-16054,14,-26,-4
-2192,1040,-16134,48,-10,10
-2214,1068,-16110,10,-20,6
-2238,1070,-16196,34,-26,8
-2226,1070,-16068,10,-20,8
-2230,1068,-16222,12,-28,4
-2242,1044,-16118,28,-16,6
-2226,1052,-16170,14,-38,12
-2256,1058,-16140,32,-10,12
-2198,1042,-16156,28,-12,0
-2172,1046,-16052,26,-20,10
-2238,1052,-16188,24,-38,10
-2226,1064,-16158,30,-32,10
-2242,1054,-16184,30,-22,12
-2248,1056,-16172,38,-30,-2
-2230,1042,-16136,24,-14,18
-2236,1050,-16174,22,-22,6
-2222,1060,-16084,20,-24,12
-2230,1084,-16178,30,-16,2
-2212,1070,-16102,30,-32,10
-2230,1048,-16194,18,-30,20
-2196,1046,-16172,24,-34,8
-2218,1078,-16134,28,-28,12
-2230,1046,-16242,30,-26,8
-2250,1014,-16088,36,-4,16
-2226,1054,-16176,26,-28,16
-2230,1058,-16116,24,-20,10
-2192,1078,-16152,26,-24,2
-2198,1090,-16092,26,-20,-4
-2230,1082,-16132,26,-20,12
-2230,1054,-16150,34,-22,20
-2216,1040,-16144,30,-4,16
-2258,1070,-16122,32,-22,8
-2238,1052,-16132,10,-16,6
-2242,1038,-16188,36,-20,26
-2692,1994,-16634,1512,-78,220
-1996,1434,-15362,-646,-646,186
-2318,888,-15458,182,572,56
-1522,994,-15474,-744,-514,-36
-2490,1342,-16554,-292,-230,-20
-2274,1114,-16232,-98,-274,6
-2762,-162,-17606,792,660,-212
