ax,ay,az,gx,gy,gz
-12674,6676,-8326,40,82,-6
-12610,6560,-8208,64,44,28
-12684,6254,-8184,66,-104,-14
-12860,6094,-8412,60,-160,6
-12862,6106,-8468,116,-74,30
-12658,6060,-8326,80,88,12
-12600,6200,-8260,30,138,-14
-12698,6316,-8210,-14,104,-16
-12664,6404,-8114,-4,98,14
-12664,6534,-8232,8,18,-46
-12692,6652,-8358,20,44,-58
-12598,6624,-8314,46,66,-8
-12538,6422,-8198,72,20,16
-12710,6132,-8280,62,-86,22
-12860,6066,-8470,50,-86,58
-12808,6076,-8508,106,-24,64
-12712,6132,-8272,86,38,-12
-12666,6150,-8252,36,48,4
-12610,6316,-8170,-10,-30,26
-12592,6434,-8166,-16,-52,-16
-12668,6506,-8264,4,-48,-30
-12720,6570,-8408,8,-2,2
-12618,6544,-8362,36,32,30
-12614,6354,-8282,20,-8,-4
-12630,6308,-8300,10,-92,6
-12672,6330,-8300,42,-172,34
-12748,6304,-8286,100,-188,-2
-12830,6266,-8298,132,-174,-22
-12728,6146,-8270,86,-124,-2
-12664,6144,-8224,40,-102,-16
-12692,6216,-8244,20,-68,-44
-12698,6236,-8286,8,-76,-40
-12744,6212,-8342,-20,-82,-34
-12716,6280,-8348,-62,-92,-32
-12634,6322,-8376,-76,-100,-26
-12694,6316,-8314,-88,-150,-14
-12698,6288,-8292,-76,-200,-2
-12710,6266,-8276,-72,-170,18
-12678,6322,-8258,-56,-196,20
-12704,6328,-8230,-80,-200,6
-12722,6378,-8158,-114,-170,-10
-12770,6378,-8118,-74,-122,-8
-12740,6366,-8134,-30,-112,-14
-12788,6360,-8194,-28,-110,-26
-12758,6314,-8212,-32,-110,-8
-12772,6346,-8210,-30,-118,6
-12732,6368,-8166,-14,-112,-6
-12734,6292,-8178,34,-106,-4
-12710,6338,-8228,40,-132,14
-12732,6306,-8230,18,-142,12
