ax,ay,az,gx,gy,gz
-2284,994,-16152,24,-24,6
-2270,988,-16142,26,-32,10
-2292,992,-16138,22,-34,12
-2256,998,-16168,32,-26,16
-2290,964,-16140,28,-20,14
-2260,972,-16136,28,-32,10
-2290,978,-16156,36,-22,22
-2280,982,-16140,30,-20,12
-2310,994,-16146,32,-22,10
-2316,956,-16104,22,-12,-2
-2268,988,-16078,30,-26,10
-2302,962,-16122,26,-30,2
-2258,958,-16098,22,-24,0
-2256,966,-16142,30,-28,8
-2282,984,-16170,30,-24,10
-2286,994,-16178,34,-28,6
-2302,966,-16120,30,-22,8
-2282,986,-16132,30,-16,16
-2278,964,-16118,18,-20,2
-2282,990,-16150,24,-14,8
-2268,952,-16140,34,-30,18
-2246,974,-16130,24,-20,4
-2262,998,-16158,26,-20,10
-2300,948,-16120,10,-24,12
-2302,986,-16156,16,-6,6
-2284,988,-16074,16,-28,16
-2254,976,-16138,24,-20,12
-2240,956,-16118,20,-16,14
-2290,970,-16178,28,-20,6
-2282,972,-16170,22,-24,-2
-2296,962,-16162,16,-24,8
-2300,948,-16138,12,-18,14
-2292,982,-16148,18,-18,10
-2288,994,-16124,8,-18,6
-2252,1022,-16130,14,-14,0
-2276,980,-16142,26,-16,8
-2288,990,-16142,20,-22,6
-2272,976,-16120,20,-14,20
-2282,950,-16140,36,-24,10
-2282,1020,-16122,20,-18,8
-2278,986,-16160,32,-28,0
-2272,982,-16122,18,-20,16
-2288,984,-16110,20,-36,16
-2268,998,-16128,22,-20,16
-2280,976,-16124,26,-10,16
-2264,960,-16148,24,-20,12
-2304,968,-16152,22,-30,12
-2298,994,-16152,28,-22,10
-2290,990,-16110,20,-14,-4
-2272,998,-16158,26,-26,22
