ax,ay,az,gx,gy,gz
-14128,1496,7048,-1468,432,-670
-14206,1498,6988,-2128,-442,-906
-14804,612,6616,-3082,-902,-882
-15628,-778,6430,-5158,-392,-424
-15872,-1530,6538,-7274,472,196
-15628,-1700,7016,-9644,1406,888
-15104,-1238,7610,-11398,2178,1224
-14522,-976,8030,-13060,2722,1540
-13786,-1676,7888,-15216,2408,1484
-13318,-3422,6804,-17046,1262,1046
-14018,-4924,3454,-18152,-1508,-408
-17024,-712,118,-14948,-2116,-2308
-21820,5254,-590,-10130,2018,-1862
-19844,9526,2260,-5962,4578,-1226
-15360,7026,6358,294,2112,-94
-13748,-1236,4208,5772,-3556,-358
-14348,-3032,1238,6840,-4308,-1026
-16070,-3182,2456,8504,-3262,-1662
-16028,-3134,4564,8594,-2094,-1904
-15254,-3030,5962,8100,-1476,-1372
-14716,-3182,6510,7348,-1640,-950
-14648,-2948,6684,6632,-2146,-502
-15224,-2200,6888,5994,-2394,46
-15742,-1506,7416,5308,-2224,440
-15986,-1402,7724,4580,-1916,602
-15832,-1650,7714,4108,-1604,384
-15724,-1620,7246,3750,-880,314
-15850,-1476,7114,3352,-110,544
-15926,-1388,6726,2862,432,976
-15686,-810,6164,2366,1268,1290
-15208,-62,5998,1754,2006,1390
-14646,126,6324,1410,2232,942
-14376,196,6670,1090,1944,686
-14434,308,6684,740,1384,510
-14890,662,6654,380,904,334
-15304,766,6596,310,742,178
-15390,964,6768,250,878,78
-15180,902,6936,106,1050,58
-14930,736,7024,-110,1076,96
-14844,628,6958,-238,976,140
-14982,478,6832,-346,868,138
-15178,238,6644,-542,896,114
-15262,-24,6454,-700,874,52
-15360,-260,6264,-890,778,-58
-15346,-350,6224,-1038,744,-68
-15340,-466,6196,-1230,684,-38
-15296,-512,6196,-1304,658,-46
-15310,-424,6230,-1350,716,-92
-15318,-436,6266,-1354,842,-112
-15280,-516,6308,-1358,952,-102
