ax,ay,az,gx,gy,gz
-2256,972,-16122,20,-18,6
-2282,968,-16156,14,-26,10
-2268,954,-16122,22,-6,10
-2282,970,-16138,26,-18,4
-2264,976,-16092,32,-24,0
-2272,974,-16140,30,-18,10
-2274,972,-16138,26,-20,0
-2296,988,-16150,16,-16,8
-2266,966,-16162,28,-28,16
-2276,970,-16114,24,-24,0
-2282,984,-16134,16,-22,24
-2282,962,-16142,28,-20,4
-2252,986,-16126,32,-16,22
-2278,958,-16154,26,-28,12
-2268,974,-16066,20,-10,26
-2284,990,-16126,22,-20,8
-2288,980,-16152,20,-26,6
-2280,990,-16114,20,-12,10
-2258,974,-16158,30,-34,8
-2244,992,-16124,28,-18,6
-2274,964,-16136,28,-24,6
-2264,966,-16142,22,-16,-4
-2270,996,-16122,18,-32,10
-2274,994,-16138,22,-26,12
-2302,1004,-16106,16,-22,8
-2256,980,-16136,24,-30,12
-2248,972,-16150,22,-16,8
-2282,962,-16118,26,-16,6
-2264,982,-16162,18,-28,22
-2262,996,-16102,26,-24,16
-2274,978,-16156,24,-22,2
-2276,984,-16158,22,-14,2
-2284,994,-16154,22,-12,-2
-2290,986,-16130,24,-18,12
-2276,948,-16116,34,-22,14
-2306,972,-16108,32,-22,10
-2262,994,-16160,20,-34,22
-2270,972,-16110,22,-34,16
-2280,982,-16180,20,-26,4
-2272,966,-16140,16,-26,12
-2296,996,-16154,26,-26,14
-2308,1022,-16128,20,-14,8
-2284,966,-16170,26,-28,8
-2268,966,-16090,28,-22,-4
-2292,982,-16186,30,-26,14
-2274,1014,-16092,22,-12,16
-2262,978,-16140,28,-20,10
-2298,972,-16154,26,-18,4
-2292,944,-16092,40,-26,16
-2298,994,-16130,26,-16,4
