ax,ay,az,gx,gy,gz
-13882,-3604,-8072,20,-44,2
-13808,-3594,-8086,18,-14,-20
-13824,-3646,-8072,14,-8,-20
-13866,-3640,-8120,24,-64,10
-13954,-3654,-8052,30,-52,14
-13856,-3612,-8094,48,-26,4
-13810,-3578,-8072,38,-16,-22
-13842,-3582,-8058,26,-30,-6
-13816,-3622,-8036,20,2,16
-13870,-3644,-8066,12,-6,8
-13874,-3622,-8128,12,-28,-6
-13906,-3634,-8088,16,-44,8
-13826,-3602,-8102,-2,-30,28
-13842,-3592,-8064,16,-40,22
-13860,-3632,-8074,42,-42,40
-13892,-3612,-8102,32,-12,16
-13882,-3618,-8040,38,-30,-2
-13860,-3568,-8086,20,-44,16
-13840,-3570,-8054,10,-24,22
-13850,-3556,-8094,30,-28,6
-13858,-3594,-8090,30,-34,-8
-13900,-3658,-8048,44,-32,12
-13890,-3668,-8032,30,-36,24
-13842,-3640,-8084,26,-38,22
-13886,-3570,-8062,6,-36,4
-13898,-3602,-8088,2,-44,-2
-13852,-3624,-8052,18,0,2
-13836,-3634,-8044,34,-10,30
-13930,-3660,-8088,12,-38,22
-13880,-3636,-8066,44,-10,10
-13850,-3548,-8092,52,8,-6
-13840,-3532,-8054,54,10,12
-13840,-3576,-8070,56,-4,22
-13880,-3626,-8070,54,34,22
-13870,-3658,-8056,34,12,4
-13900,-3656,-8084,34,-12,-12
-13880,-3628,-8052,26,10,4
-13844,-3608,-8050,16,22,6
-13842,-3616,-8046,50,20,20
-13856,-3664,-8100,52,6,18
-13840,-3642,-8136,30,28,30
-13806,-3628,-8084,20,12,20
-13842,-3612,-8096,14,6,44
-13874,-3584,-8088,30,12,60
-13874,-3626,-8098,32,4,38
-13842,-3638,-8088,20,0,38
-13886,-3624,-8032,26,16,66
-13842,-3594,-8066,-6,-12,30
-13840,-3578,-8118,8,-4,28
-13882,-3604,-8114,24,2,26
