ax,ay,az,gx,gy,gz
-16154,764,3400,-160,-172,4
-16240,774,3368,-192,-74,48
-16164,706,3390,-202,-30,30
-16074,704,3398,-234,-30,30
-15976,822,3508,-214,-28,34
-16038,878,3544,-242,-88,34
-16138,804,3438,-282,-146,34
-16150,810,3358,-272,-116,40
-16154,844,3480,-292,-52,64
-16056,832,3424,-266,-16,56
-15982,858,3494,-224,-38,38
-16056,816,3536,-208,-176,32
-16120,844,3418,-208,-170,18
-16084,858,3408,-128,-50,14
-16044,840,3444,-62,-46,14
-16064,834,3484,-56,-96,6
-16140,820,3486,-78,-180,-2
-16152,830,3424,-46,-94,26
-16070,784,3502,-38,-40,16
-15990,816,3514,-38,-54,-10
-16052,756,3546,-30,-108,-22
-16126,780,3524,-32,-86,-4
-16108,792,3526,-56,-92,4
-16098,778,3462,-58,-96,-18
-16060,716,3514,-46,-62,-28
-16020,768,3554,-34,-84,-24
-16070,800,3588,-28,-126,4
-16086,834,3468,-32,-154,10
-16158,772,3500,-30,-110,-2
-16072,780,3488,-2,-48,6
-16060,774,3610,36,-84,14
-16048,754,3566,48,-114,0
-16022,736,3566,16,-94,-10
-16016,740,3596,26,-84,-40
-16020,754,3528,32,-58,-32
-16116,760,3622,18,-68,-30
-16130,740,3564,8,-42,-12
-16082,750,3542,12,8,16
-15982,738,3584,32,0,-30
-16014,758,3620,56,-98,-50
-16102,796,3572,26,-106,-52
-16086,728,3568,32,-46,-22
-16042,740,3672,36,-12,-10
-16068,688,3672,74,-42,-32
-16146,714,3570,98,-12,-38
-16126,712,3576,80,2,2
-16060,652,3582,18,12,24
-15990,644,3548,2,-24,2
-15988,584,3590,-28,-38,-10
-16086,632,3572,-78,-92,-22
