ax,ay,az,gx,gy,gz
-872,-15964,-3698,92,-22,28
-864,-16016,-3636,124,12,-8
-822,-16020,-3626,112,-16,8
-742,-16034,-3600,70,-74,14
-744,-16018,-3608,92,-50,28
-850,-15972,-3704,122,-22,48
-942,-15916,-3672,154,-28,14
-842,-15964,-3672,124,-50,-22
-804,-15954,-3580,98,16,-30
-726,-15974,-3564,96,-18,28
-734,-16052,-3538,84,-18,62
-808,-16010,-3566,82,-46,46
-866,-15958,-3576,60,-12,60
-832,-15942,-3580,20,-64,50
-860,-15970,-3668,2,-36,32
-818,-16034,-3580,24,-28,6
-834,-15984,-3592,36,-48,6
-944,-15966,-3654,40,-78,-8
-888,-15900,-3690,38,24,16
-744,-15932,-3586,44,-14,18
-750,-15996,-3626,46,-82,-4
-858,-15950,-3686,74,0,4
-826,-15926,-3584,72,36,20
-814,-15994,-3560,44,-20,56
-830,-16042,-3612,26,-28,34
-846,-16074,-3632,58,40,14
-836,-15994,-3558,78,50,26
-790,-15894,-3524,36,-24,-14
-844,-15910,-3626,22,-58,-16
-882,-15930,-3614,-10,-38,-8
-870,-16054,-3608,-18,4,40
-742,-16018,-3562,-22,24,64
-720,-16018,-3522,-30,-38,78
-846,-15974,-3646,6,-84,54
-928,-15978,-3632,10,12,40
-878,-15928,-3656,4,66,38
-806,-15876,-3608,-14,50,42
-820,-15934,-3658,-12,18,40
-796,-15982,-3636,22,48,38
-792,-15998,-3618,40,36,74
-886,-15968,-3664,36,46,102
-882,-15956,-3592,30,52,62
-820,-16002,-3646,80,40,60
-752,-15964,-3640,136,0,24
-848,-15896,-3634,164,-36,8
-902,-15876,-3728,226,-30,-2
-910,-15878,-3694,298,52,8
-800,-15908,-3566,296,72,32
-706,-15948,-3482,272,-18,22
-830,-15908,-3536,242,-114,20
