ax,ay,az,gx,gy,gz
-16114,-414,4924,-1198,-946,376
-16398,-368,4488,-1058,-990,244
-16238,-378,4304,-916,-526,82
-15772,-346,4680,-788,-46,-20
-15628,-336,4908,-792,-210,-82
-15970,-328,4674,-756,-526,-108
-16132,-228,4364,-728,-440,-122
-15784,-280,4282,-704,24,52
-15614,-320,4572,-710,82,254
-15734,-392,4712,-768,-170,278
-15882,-372,4432,-922,-356,242
-15732,-406,4254,-1070,-176,398
-15726,-468,4520,-1196,4,596
-16002,-460,4584,-1302,-96,590
-16060,-258,4540,-1378,-132,526
-15880,-182,4524,-1472,4,454
-15730,-208,4864,-1380,210,478
-15676,-84,4988,-1262,-116,384
-15808,-34,4826,-1246,-376,290
-15848,-220,4568,-1208,-374,102
-15792,-228,4620,-1122,-316,-42
-15804,-262,4770,-1198,-346,-160
-15860,-136,4830,-1204,-322,-210
-15954,-258,4732,-1220,-338,-126
-16074,-270,4596,-1270,-328,-124
-15998,-324,4512,-1322,-152,-92
-15864,-424,4746,-1502,206,-6
-15898,-538,5030,-1690,264,30
-16036,-572,4890,-1928,190,-22
-16066,-530,4592,-2122,310,-4
-15832,-412,4558,-2176,690,110
-15764,-376,4900,-2384,856,164
-15820,-236,4872,-2438,616,106
-15954,-178,4674,-2464,456,108
-15916,-168,4532,-2378,738,274
-15778,-200,4634,-2224,978,428
-15774,-376,4800,-2092,1018,558
-15740,-322,4686,-1986,922,568
-15680,-242,4564,-1832,1026,554
-15512,-148,4422,-1736,1038,642
-15364,-234,4450,-1674,978,756
-15332,-462,4450,-1556,756,974
-15496,-522,4566,-1454,478,1052
-15688,-678,4690,-1334,180,950
-15740,-726,4710,-1358,98,844
-15686,-810,4618,-1486,4,802
-15834,-980,4770,-1628,-180,756
-15960,-1048,4748,-1804,-290,612
-15810,-1102,4704,-1954,-200,510
-15670,-1070,4736,-2096,-226,550
