ax,ay,az,gx,gy,gz
-3380,4436,-15440,-54,16,6
-2978,4456,-15242,-92,-122,-6
-3216,4586,-15298,-96,-300,-36
-3580,4662,-15402,-8,-220,-16
-3658,4642,-15342,38,-20,4
-3492,4588,-15268,40,36,20
-3288,4546,-15408,36,10,24
-3284,4636,-15366,56,36,0
-3198,4762,-15278,44,90,-36
-3186,4730,-15280,12,32,-44
-3226,4646,-15424,-6,-26,-34
-3220,4540,-15442,52,6,-28
-3178,4392,-15352,110,-20,-18
-3178,4268,-15402,176,-168,6
-3330,4208,-15466,182,-208,50
-3394,4238,-15418,62,-128,44
-3324,4324,-15402,-34,-100,12
-3304,4482,-15362,-58,-134,0
-3480,4526,-15338,-54,-152,-4
-3592,4524,-15358,-36,-48,26
-3346,4538,-15274,44,152,72
-3164,4598,-15428,-18,146,10
-3074,4646,-15262,-58,68,-26
-3270,4716,-15278,-30,-42,-32
-3368,4698,-15380,22,-26,-20
-3296,4550,-15342,74,40,24
-3232,4522,-15304,128,-6,50
-3268,4476,-15398,190,-72,32
-3422,4422,-15400,230,-26,24
-3418,4462,-15364,228,42,26
-3300,4458,-15342,198,94,58
-3172,4386,-15318,180,82,38
-3218,4388,-15354,176,-18,-6
-3362,4478,-15438,148,-62,-24
-3468,4496,-15432,78,46,-8
-3290,4424,-15464,24,122,-40
-2990,4296,-15398,100,26,-54
-3160,4330,-15344,144,-158,-32
-3460,4374,-15384,184,-120,-6
-3492,4522,-15400,94,34,-6
-3400,4562,-15286,46,48,-18
-3074,4580,-15302,46,58,28
-2952,4488,-15338,68,-70,84
-3188,4480,-15488,52,-314,14
-3566,4418,-15378,18,-130,-52
-3300,4310,-15354,36,-2,-54
-3116,4292,-15452,18,-74,-92
-3264,4296,-15412,-32,-130,-124
-3372,4304,-15324,8,-182,-44
-3326,4332,-15440,-6,-152,14
