ax,ay,az,gx,gy,gz
-2170,1024,-16134,4,-22,16
-2202,1062,-16226,12,-20,8
-2216,1028,-16132,26,-22,8
-2200,1090,-16196,28,-6,2
-2182,1042,-16130,18,-18,20
-2170,1018,-16144,26,-16,6
-2212,1016,-16132,14,-16,0
-2202,1040,-16108,12,-24,10
-2182,1016,-16122,16,-20,16
-2206,1036,-16184,24,-18,10
-2182,1040,-16122,18,-22,16
-2196,1032,-16182,18,-14,10
-2192,1030,-16144,20,-22,10
-2192,1036,-16170,20,-28,6
-2210,1042,-16150,32,-10,6
-2196,1042,-16140,22,-22,2
-2214,1032,-16180,14,-18,10
-2194,1036,-16118,16,-18,18
-2190,1040,-16150,24,-32,12
-2182,1032,-16164,28,-18,12
-2174,1018,-16176,18,-26,6
-2206,1026,-16176,22,-16,0
-2200,1036,-16132,20,-44,18
-2214,1022,-16156,30,-36,14
-2208,1010,-16142,22,-22,0
-2174,1048,-16148,32,-20,8
-2194,1010,-16124,26,-26,8
-2190,1020,-16170,30,-22,20
-2208,1056,-16200,16,-22,4
-2190,1040,-16120,22,-6,14
-2186,1044,-16154,24,-26,6
-2198,1030,-16138,18,-18,4
-2202,1022,-16146,20,-26,2
-2188,1036,-16114,18,-14,8
-2164,1040,-16188,20,-22,2
-2202,1022,-16136,28,-12,16
-2182,1048,-16184,32,-20,6
-2184,1004,-16148,20,-24,18
-2202,1016,-16148,30,-22,4
-2200,1054,-16128,26,-22,22
-2194,1020,-16130,16,-10,12
-2182,1016,-16202,34,-22,22
-2188,1022,-16122,28,-26,2
-2198,1036,-16164,22,-22,10
-2176,1028,-16144,32,-16,6
-2184,1028,-16184,24,-18,2
-2180,1040,-16104,34,-18,24
-2182,1000,-16152,24,-22,14
-2222,1022,-16162,30,-14,10
-2194,1050,-16134,24,-34,16
