ax,ay,az,gx,gy,gz
-15526,672,3170,-1466,-754,216
-15756,-486,4028,-686,-1256,-238
-16392,-1480,4262,-872,-1962,-1190
-17342,-2618,4188,-1808,-2156,-1754
-18036,-3136,3702,-2460,-1308,-2280
-17930,-2580,2886,-2606,562,-2062
-16474,-1966,2112,-2594,1842,-1052
-14388,-4,1808,-1282,2828,300
-13592,1692,2014,266,2360,1734
-13378,2976,2134,1914,1236,2930
-13538,3004,3848,4188,-288,4000
-14208,2252,5398,5686,-2248,4050
-17906,-2056,7058,6588,-3934,1716
-20718,-3618,6276,5666,-3420,-982
-19898,-2940,4238,3052,230,-2502
-16422,-1508,3266,2784,2508,-1722
-13790,-550,3300,3306,2760,-494
-13344,448,4710,4346,1052,848
-14570,504,4852,4904,-236,1036
-15364,344,5098,5150,-876,746
-15126,-138,5424,5284,-1564,320
-15414,-802,5412,4838,-2542,-32
-16544,-912,5016,3806,-2808,104
-17320,-1426,4320,2856,-2202,504
-16774,-2068,3898,1834,-1482,846
-16024,-1818,4024,1056,-1188,854
-16036,-1066,4260,-210,-948,968
-16478,-444,3746,-1226,-878,1092
-16904,4,3318,-2504,-270,1048
-16662,108,3552,-3402,72,1036
-15794,140,3812,-4152,112,1132
-14898,528,4540,-4522,-88,1532
-14698,778,4988,-4776,-766,1690
-15544,496,5062,-4910,-1558,1450
-15930,886,5234,-5082,-1500,1286
-15614,1030,5472,-5140,-1094,1458
-15146,962,5760,-5306,-1104,1660
-15452,876,5558,-5402,-1466,1478
-16088,902,5478,-5494,-1380,1376
-15978,880,5654,-5692,-956,1418
-15520,1118,5876,-5954,-640,1486
-15338,1104,5866,-6054,-684,1520
-15484,996,5770,-6072,-692,1398
-15618,782,5626,-6282,-476,1124
-15592,408,5466,-6682,-10,966
-15324,126,5484,-7264,862,866
-15048,-412,5834,-7912,1260,698
-14612,-388,6892,-8962,1382,262
-14526,-670,7324,-9756,644,-80
-14730,388,6978,-10566,-502,-228
