ax,ay,az,gx,gy,gz
-16434,-638,1506,530,-246,752
-16258,-594,1418,152,-242,844
-16192,-480,1290,-194,-208,728
-16124,-224,1142,-468,-112,500
-16106,204,1050,-644,-28,164
-16094,516,1168,-602,-28,-90
-16330,716,1110,-366,-14,-282
-16430,626,1208,-76,34,-364
-16424,524,1288,284,112,-468
-16364,284,1384,496,148,-494
-16368,48,1474,626,108,-480
-16546,-202,1524,696,58,-372
-16550,-372,1644,668,4,-218
-16506,-594,1912,636,-184,-28
-16614,-702,2002,632,-422,160
-16756,-716,1848,526,-592,426
-16538,-750,1638,216,-496,656
-16200,-770,1462,-170,-376,654
-16050,-516,1216,-648,-266,460
-16266,-266,1044,-984,-130,234
-16548,216,902,-1246,134,60
-16536,718,822,-1200,446,-18
-16262,1138,900,-994,514,-96
-16044,1318,1052,-500,444,-346
-16106,1124,1050,-76,346,-660
-16262,774,1220,390,298,-954
-16384,294,1440,648,190,-1008
-16644,-248,1656,910,56,-838
-16936,-1016,2434,1268,-64,-350
-17352,-148,2068,1494,-604,258
-16924,-866,1512,1118,-316,954
-15628,-2024,1840,382,-276,1010
-15340,-1650,1390,-780,-636,340
-16292,-708,1142,-1282,-540,110
-17192,28,852,-1554,-86,188
-16930,434,872,-1602,494,248
-16262,904,1318,-1556,590,306
-15794,1362,1708,-1068,8,212
-16164,1324,1576,-378,-398,78
-16874,808,1168,418,-210,-30
-16702,256,1320,718,216,12
-16256,-110,1588,794,250,14
-16108,-322,1584,730,48,-60
-16326,-404,1578,624,42,-178
-16460,-538,2004,598,80,-196
-16520,-490,2102,646,-112,-80
-16692,-566,1912,598,-338,206
-16578,-790,1834,368,-342,398
-16410,-876,1640,-6,-348,496
-16212,-626,1320,-494,-226,524
