ax,ay,az,gx,gy,gz
-2754,-15820,-3446,-24,-22,6
-2650,-15828,-3450,-4,16,-4
-2592,-15842,-3418,-14,-22,-16
-2616,-15784,-3422,-28,-44,0
-2682,-15780,-3512,28,-42,16
-2726,-15808,-3474,42,-12,-4
-2598,-15816,-3400,42,-10,2
-2578,-15788,-3412,42,-62,28
-2756,-15788,-3474,48,-94,42
-2784,-15838,-3484,62,-28,20
-2722,-15814,-3454,108,18,-24
-2592,-15830,-3360,76,-36,-30
-2598,-15792,-3364,36,-84,-8
-2710,-15820,-3442,52,-54,0
-2782,-15764,-3518,92,-10,-2
-2664,-15744,-3400,120,44,26
-2562,-15878,-3368,94,-6,-18
-2618,-15870,-3342,86,-54,-24
-2656,-15800,-3448,128,-44,-8
-2646,-15806,-3346,86,4,16
-2628,-15890,-3330,38,-30,6
-2676,-15826,-3414,58,-62,2
-2724,-15800,-3466,66,-26,18
-2668,-15874,-3358,18,38,38
-2614,-15956,-3266,-42,28,50
-2674,-15882,-3338,-52,-64,20
-2738,-15848,-3442,-66,-28,-2
-2714,-15820,-3420,-94,0,2
-2634,-15812,-3412,-98,2,24
-2566,-15778,-3462,-68,-30,22
-2630,-15822,-3410,-66,-50,8
-2662,-15898,-3350,-102,-66,24
-2674,-15860,-3458,-126,-60,34
-2640,-15820,-3512,-136,-50,48
-2618,-15800,-3414,-110,-66,46
-2610,-15802,-3450,-60,-86,26
-2634,-15732,-3486,-50,-146,18
-2672,-15650,-3580,-18,-212,-36
-2700,-15702,-3570,46,-212,-54
-2668,-15754,-3530,30,-214,-78
-2628,-15876,-3486,32,-224,-90
-2622,-15788,-3460,-30,-190,-86
-2652,-15792,-3522,54,-196,-46
-2732,-15768,-3528,132,-226,-34
-2650,-15700,-3450,112,-198,-94
-2516,-15758,-3446,144,-222,-110
-2534,-15848,-3394,132,-290,-84
-2652,-15848,-3442,176,-344,-58
-2700,-15782,-3438,208,-264,-104
-2696,-15864,-3378,214,-266,-52
