ax,ay,az,gx,gy,gz
-4340,11472,-7614,14746,992,-5176
-4444,12184,-8656,14752,3008,-5832
-4746,12176,-8742,13652,4048,-5842
-5552,11492,-9332,13152,2868,-6048
-6264,11224,-10324,14484,716,-7042
-6854,11768,-11900,15198,170,-7214
-9616,15170,-12674,5032,-4956,-3336
-7010,11778,-11990,2164,-1398,328
-7380,10528,-11300,1428,798,1786
-7554,8826,-10606,4040,-224,-78
-7866,10154,-11740,5376,152,-668
-7674,10000,-11170,4602,778,-112
-7286,9118,-11014,4614,1146,838
-6314,9448,-12110,4626,2676,1036
-7102,9750,-11028,3210,3438,978
-6514,9294,-11212,4734,2638,1660
-6538,9766,-12966,2338,1192,2344
-5552,9364,-12146,-900,180,4374
-4608,8972,-12410,-1580,788,4074
-5418,9170,-12396,-872,398,2338
-6218,9588,-12458,20,-912,1526
-6252,10100,-12128,1848,-622,1048
-5952,9366,-11570,4254,-2170,-1200
-5550,9422,-11550,6124,-3650,-1182
-5858,9068,-12054,6862,-3748,-968
-6598,8516,-11916,6998,-3824,-422
-6574,8554,-11936,7404,-3656,174
-6602,8724,-12924,8096,-3592,2216
-6252,5862,-14882,2300,-640,4836
-6092,7430,-11784,280,3214,3786
-6062,5942,-11352,290,2732,3054
-5982,7294,-11618,-558,652,-1324
-6266,8824,-13544,2362,-3988,34
-6600,8134,-14580,4814,-4496,1120
-7764,7140,-14268,6280,-1970,516
-7098,7566,-14612,5718,954,-60
-6534,7840,-14496,2950,3086,972
-5306,6784,-13892,1138,2254,1640
-5588,6552,-12438,376,-40,1010
-6020,7180,-12952,-290,-2466,1200
-6226,6950,-12748,-240,-2462,1574
-6720,7486,-13034,3204,-2162,3116
-6352,7012,-14016,3160,782,3528
-6824,6184,-13002,5172,1132,4300
-6234,6588,-13456,8116,874,6132
-5498,6534,-13888,8900,280,8906
-5992,6512,-13796,9830,-2356,11812
-5512,5210,-14610,9036,-4438,12360
-4374,5266,-15318,7686,-4772,9382
-4588,5138,-14278,4406,-4230,6264
