ax,ay,az,gx,gy,gz
-16144,766,3568,54,258,70
-16112,720,3584,164,218,90
-16122,770,3400,380,214,26
-15984,862,3398,558,266,-24
-15818,836,3534,760,186,-46
-15904,730,3666,858,-10,-84
-16308,864,3630,1004,-102,-96
-16594,1018,3540,1120,-14,0
-16516,964,3402,1258,284,152
-16050,742,3492,1298,526,346
-15798,612,3606,1238,444,358
-15842,604,3484,1074,274,168
-16026,792,3194,976,266,-90
-16032,862,2952,824,396,-198
-15886,630,2992,544,556,-290
-15892,322,3122,220,444,-366
-16178,416,2982,-214,200,-508
-16324,570,2654,-456,192,-540
-16144,720,2762,-668,402,-504
-15886,750,3014,-800,224,-554
-15880,866,3056,-952,-134,-606
-16102,794,2980,-1148,-376,-484
-16340,450,3232,-1260,-430,-254
-16222,726,3166,-1308,-944,34
-16148,970,3022,-1298,-1198,146
-16060,1198,3030,-1384,-1298,272
-16006,1142,3098,-1440,-1294,316
-16084,1290,3022,-1598,-1378,322
-16226,1616,2728,-1598,-1126,188
-16306,1912,2714,-1390,-732,20
-16238,1856,2830,-1144,-344,-148
-16122,1730,3044,-948,-202,-216
-16054,1878,3314,-646,-372,-240
-16078,2238,3244,-424,-606,-182
-16216,2224,3044,-162,-680,-34
-16144,2078,3104,112,-502,8
-16132,2298,3452,208,-512,10
-16286,2374,3588,628,-434,-124
-16334,2760,3630,912,-688,260
-16396,2740,3868,1398,-748,340
-17146,3088,4980,2328,-644,20
-17412,2312,4372,2776,-642,-28
-17360,976,3922,3298,510,-246
-17156,554,4356,3468,1290,-372
-16256,210,4760,3814,1746,-684
-16048,1004,5320,3884,1704,-210
-15076,376,4458,4982,2098,-288
-14762,-1136,5644,5404,2430,-1156
-14736,-1612,5760,5480,2016,-1994
-14880,-1374,5470,5592,1812,-2866
