ax,ay,az,gx,gy,gz
-13796,1694,-2302,-11858,1334,3742
-12846,2244,-834,-14588,6660,4856
-11624,62,728,-15728,10382,4846
-9098,-1176,1438,-15442,11242,3006
-7758,974,2320,-15654,9992,840
-7802,6602,3236,-13588,6574,2082
-12846,1930,5722,-3010,6718,3676
-14858,9908,2580,-5184,2156,4066
-16800,3576,292,2918,-6328,5886
-22912,-4146,2332,4204,-4614,4824
-20686,-2864,1606,1888,-2570,-368
-16342,-2134,246,2626,-2896,-1326
-14584,-4292,-836,2088,-3644,-1674
-14664,-4762,-2202,2414,-1508,-2306
-14002,-3594,-378,3782,940,-3214
-11226,-1724,2980,4018,-1500,-2906
-9730,-704,3564,2954,-3214,-1776
-10400,-496,3540,1866,-5182,-104
-11848,-146,4246,2048,-6592,382
-14184,-298,4266,2418,-6800,1412
-18104,-2170,2596,2344,-5950,2250
-19588,-2380,1686,2056,-3780,2226
-18094,-1444,2272,1876,-410,1152
-16678,-278,3560,968,810,526
-15698,802,4574,862,864,112
-15278,972,5016,1146,462,148
-15314,62,4770,1578,-98,182
-15546,-688,3936,1414,-384,124
-15948,-1048,3694,1242,-156,140
-16524,-998,4014,574,156,-66
-16632,-426,3968,94,378,-156
-16706,-492,3622,-124,778,60
-16506,-166,3466,-518,1032,150
-16064,272,3620,-834,838,238
-15436,1160,3792,-932,394,398
-15402,1906,3934,-538,-116,506
-15606,2398,3924,6,-880,644
-15716,2470,4098,630,-962,744
-16156,2784,4320,1084,-614,374
-16006,3132,3948,1396,-598,-32
-16058,2850,3890,1794,58,-120
-16338,1302,3832,1810,976,-188
-16264,672,3556,1518,1174,-414
-15978,788,3316,1636,990,-376
-15614,1390,3582,1640,816,-288
-15408,1298,3986,1498,326,118
-15694,568,3808,1138,-552,262
-15950,242,3596,642,-858,208
-16120,284,3552,108,-556,114
-16338,214,3450,0,-518,-240
