ax,ay,az,gx,gy,gz
-15752,764,4806,132,54,50
-15706,638,4830,76,76,18
-15702,574,4920,28,10,8
-15728,588,4908,-50,-116,50
-15812,620,4856,-76,-110,92
-15838,614,4824,-128,-36,98
-15762,678,4798,-156,72,84
-15734,640,4840,-176,86,84
-15708,692,4862,-184,42,84
-15718,732,4848,-162,-12,84
-15768,818,4672,-142,-62,72
-15872,830,4690,-106,-46,34
-15836,824,4678,-64,16,12
-15724,764,4758,-36,88,0
-15732,758,4844,-20,40,14
-15782,826,4734,34,4,16
-15792,806,4766,48,50,58
-15838,760,4660,44,-56,48
-15838,834,4568,76,-82,54
-15810,910,4542,190,-20,42
-15820,968,4540,366,140,-14
-15836,1024,4624,532,238,-42
-15848,1138,4732,722,284,-104
-15816,1202,4748,836,332,-172
-15866,1132,4628,940,300,-172
-15906,1230,4538,1064,416,-158
-15916,1328,4594,1208,604,-66
-15884,1210,4672,1320,740,94
-15838,1224,4690,1394,672,174
-15864,1220,4562,1456,584,250
-15886,1264,4538,1484,618,326
-15892,1250,4558,1520,732,408
-15768,1050,4568,1460,728,430
-15618,1090,4484,1368,632,396
-15594,1134,4526,1272,494,286
-15612,1160,4540,1190,358,208
-15712,1220,4502,1042,196,206
-15854,1258,4392,1010,144,202
-15952,1290,4290,924,210,238
-15954,1160,4208,690,334,282
-15896,1088,4148,548,372,278
-15822,1094,4176,288,360,312
-15744,1244,4128,76,326,270
-15792,1284,4100,-86,396,214
-15806,1462,4148,-226,368,262
-15916,1698,4222,-340,338,320
-15966,1650,4020,-422,452,438
-15966,1540,3988,-490,566,450
-15874,1714,4118,-512,672,444
-15842,1738,4104,-496,618,492
