ax,ay,az,gx,gy,gz
-17762,158,6038,-3794,590,3230
-17972,182,4778,-4296,-402,1902
-17876,1256,3978,-5548,164,340
-15746,1256,3512,-5430,1756,180
-14208,632,4164,-4718,2038,266
-13394,830,4814,-3474,148,126
-14118,1274,4594,-2364,-1658,4
-16142,1012,3974,-1220,-2318,-36
-17486,666,4036,-872,-1784,-102
-17316,1234,4006,-598,-948,-48
-15692,1662,4180,-10,-166,82
-15040,1366,4680,464,-344,-58
-16014,848,4756,1042,-972,-514
-16952,880,4242,1464,-812,-658
-17084,812,3888,1826,-236,-522
-16164,728,3858,2126,606,-280
-15110,382,4164,2406,856,-178
-14644,308,4784,2290,4,-416
-15370,612,4654,2290,-890,-674
-16606,916,4074,2392,-896,-926
-16890,994,4060,2532,-286,-794
-16410,914,4200,2640,152,-542
-15596,642,4428,2674,158,-350
-15320,358,4622,2526,-12,-260
-15524,150,4742,2156,-332,-202
-15958,-84,4484,1816,-490,-152
-16266,-312,4022,1294,-218,48
-16316,-448,4006,638,58,312
-16128,-658,4136,-40,118,534
-15814,-670,4256,-876,74,526
-15720,-200,4430,-1396,120,452
-15822,506,4492,-1780,184,380
-15916,1004,4470,-1746,226,322
-15882,1506,4414,-1432,232,254
-15800,1752,4418,-934,44,136
-15730,2086,4470,-304,-20,36
-15618,2204,4566,706,62,-48
-15628,2328,4710,1578,-8,-84
-15814,2232,4642,2580,-292,-250
-15972,1990,4364,3226,-226,-278
-15994,1520,4232,3680,100,-246
-15778,852,4454,3912,230,-210
-15634,410,4504,3704,-12,-160
-15724,128,4342,3176,-418,-116
-15916,-88,4330,2570,-442,-94
-15954,34,4190,1746,-356,-110
-15852,130,4188,1046,-194,-40
-15812,208,4264,466,-70,-8
-15962,328,4478,-184,-46,-14
-16062,382,4586,-670,10,222
