ax,ay,az,gx,gy,gz
-15892,172,4164,96,-38,-16
-15930,156,4288,54,-58,16
-15916,212,4246,62,-100,6
-15870,220,4262,80,-10,-22
-15848,216,4286,100,-38,-32
-15992,196,4258,76,-76,-10
-16058,160,4210,60,-48,10
-15966,144,4204,46,40,8
-15848,172,4276,22,70,20
-15840,180,4356,-16,-2,30
-15910,210,4270,-6,-50,4
-15944,228,4246,10,-42,2
-15912,178,4236,-14,-48,2
-15886,272,4238,30,-30,-10
-15874,284,4280,72,-40,-4
-15934,226,4300,102,-50,-10
-15978,204,4254,124,-26,-16
-15968,202,4246,98,44,-24
-15970,200,4240,116,42,-6
-15906,196,4252,114,44,-4
-15890,184,4312,78,40,-10
-15894,168,4310,66,0,-28
-15900,190,4286,56,34,-38
-15914,182,4326,18,-4,10
-15924,182,4220,4,-76,24
-15906,172,4272,18,-10,12
-15838,208,4302,10,-16,14
-15970,256,4306,18,-66,20
-16054,228,4260,18,2,44
-15958,254,4196,32,80,66
-15796,266,4286,18,98,54
-15752,282,4378,0,30,12
-15864,252,4372,6,-98,-18
-15940,184,4294,16,-96,-6
-15950,200,4244,32,-16,-4
-15848,182,4278,38,76,-10
-15832,144,4392,36,32,-34
-15922,294,4340,22,-50,-74
-15960,344,4236,86,-16,-56
-15942,382,4368,110,94,-62
-15822,400,4380,154,118,-70
-15854,442,4444,178,-30,-86
-15916,470,4302,186,-98,-72
-16002,358,4188,192,-48,-30
-15918,254,4122,158,58,-40
-15864,118,4242,62,78,-38
-15892,124,4212,-20,-22,-50
-15942,106,4220,-128,80,-16
-15910,172,4210,-252,96,12
-15952,196,4178,-332,110,-8
