ax,ay,az,gx,gy,gz
-10222,126,-13802,3206,2934,3198
-10330,656,-13804,2442,3702,4860
-9718,274,-13880,3532,5116,5500
-8944,224,-14214,3756,5664,5282
-8516,-152,-14462,3078,5622,5250
-8312,-396,-14890,2266,5554,4964
-7990,-550,-14830,960,5948,5142
-7260,-680,-14318,346,5620,4902
-6596,-588,-14424,688,4602,3880
-6712,-194,-14594,504,4076,3236
-6456,-290,-14748,-46,3590,3732
-5890,-922,-14844,-776,3534,3400
-6032,-1012,-14308,-1052,3006,2366
-5994,-10,-13754,374,1602,782
-5606,216,-14250,862,670,706
-6316,568,-14562,1572,-540,-94
-6360,324,-14670,2832,-1530,-1578
-7092,314,-15372,4312,-2210,-1998
-7252,-112,-15886,3462,-1174,-1526
-7128,-276,-15378,1304,-692,-726
-6964,-778,-14410,-480,-1016,238
-6762,-822,-13998,-430,-2154,418
-7026,-640,-14678,-24,-2598,96
-7100,-76,-14812,-240,-2810,-238
-7032,38,-15074,-948,-1660,-56
-7240,-592,-14468,-1890,-1192,468
-6696,-108,-14532,-2520,-1144,538
-6790,286,-14120,-1956,-1938,-874
-7422,456,-13942,-136,-2710,-2358
-7842,102,-14006,1100,-2928,-2450
-8204,-334,-14540,928,-2266,-1630
-8510,-138,-15296,-552,-608,-154
-7882,-224,-14798,-2530,1240,1508
-7558,-244,-14002,-2474,1170,1316
-7538,376,-13974,-1422,956,346
-7796,238,-13962,-112,624,18
-7944,56,-14262,388,456,114
-7924,4,-14592,-100,44,500
-7938,596,-14832,-900,60,1116
-7838,554,-14350,-1056,152,1272
-7550,528,-14428,-584,290,840
-7764,270,-14354,456,0,422
-7980,60,-14328,512,320,706
-7890,132,-14522,-176,662,1602
-7620,248,-14330,-1156,848,2178
-7240,866,-14426,-1274,776,1892
-7462,540,-14188,-150,206,1194
-7770,616,-14218,506,-50,952
-8084,700,-14530,870,250,1542
-8008,544,-14486,872,568,2170
