ax,ay,az,gx,gy,gz
-9432,-12066,-5808,6,-36,-8
-9458,-11984,-5862,44,-70,14
-9554,-12018,-5878,76,-28,30
-9440,-12136,-5856,72,2,30
-9472,-12180,-5876,76,-50,36
-9530,-12132,-5862,64,-30,6
-9434,-12094,-5832,52,-6,0
-9378,-12074,-5850,66,-32,-20
-9500,-11874,-5830,136,-100,-30
-9574,-11952,-5866,166,-84,-26
-9440,-12102,-5824,158,-34,-12
-9388,-12040,-5730,176,6,-2
-9422,-11960,-5720,166,-2,-4
-9512,-11974,-5874,186,0,-10
-9412,-12066,-5822,224,32,-2
-9428,-12170,-5752,196,-20,16
-9498,-12234,-5778,130,-24,18
-9540,-12250,-5760,92,22,10
-9408,-12196,-5756,2,58,10
-9362,-12076,-5766,-24,26,34
-9468,-12030,-5772,14,14,60
-9510,-12030,-5782,26,-8,14
-9468,-11988,-5744,72,-28,-10
-9448,-12030,-5672,106,-24,-4
-9442,-12130,-5766,90,16,2
-9452,-12206,-5848,50,14,16
-9446,-12118,-5832,36,0,16
-9444,-12022,-5752,42,-14,16
-9452,-12094,-5776,22,16,18
-9424,-12066,-5746,4,2,22
-9444,-12062,-5782,38,-50,34
-9524,-12122,-5798,40,-22,42
-9492,-12110,-5826,36,26,18
-9408,-12012,-5758,72,22,-6
-9422,-12026,-5754,78,-18,-4
-9546,-12132,-5826,72,0,30
-9506,-12130,-5756,56,38,16
-9402,-12012,-5744,38,-16,-4
-9406,-12018,-5750,64,-32,10
-9442,-12102,-5782,82,18,10
-9442,-12110,-5808,98,8,-4
-9422,-11960,-5788,128,-100,-18
-9436,-11886,-5810,210,-72,-18
-9406,-11926,-5812,242,-34,-12
-9368,-11910,-5710,260,-16,-68
-9388,-11778,-5728,336,-60,-58
-9496,-11832,-5850,418,-22,-18
-9472,-11990,-5840,492,20,30
-9462,-12228,-5734,594,-12,52
-9500,-12344,-5684,582,-38,56
