ax,ay,az,gx,gy,gz
-660,-13344,-9382,-62,-116,30
-782,-13268,-9486,-46,-84,18
-874,-13320,-9456,-32,-32,18
-624,-13472,-9338,-46,0,42
-608,-13460,-9336,-108,-106,54
-780,-13304,-9492,-124,-96,50
-770,-13214,-9580,-32,-124,32
-820,-13198,-9486,16,-102,-14
-714,-13368,-9452,6,-140,-84
-672,-13324,-9440,14,-108,-74
-708,-13280,-9440,64,-164,-22
-700,-13302,-9414,-2,-98,-4
-710,-13254,-9444,12,-134,-48
-678,-13328,-9474,30,-108,-50
-670,-13350,-9458,30,-100,0
-706,-13278,-9416,64,-78,48
-812,-13236,-9524,50,-20,74
-718,-13192,-9544,116,-6,72
-850,-13336,-9440,162,-22,82
-864,-13396,-9340,128,22,106
-708,-13574,-9216,-30,-86,24
-880,-13580,-9412,-72,-84,-34
-868,-13410,-9494,-36,102,-12
-714,-13296,-9344,-72,144,34
-608,-13272,-9362,-84,18,34
-678,-13306,-9474,-86,-66,32
-728,-13314,-9438,-90,-48,40
-734,-13340,-9432,-54,-52,46
-754,-13292,-9458,-50,-36,44
-782,-13304,-9470,-114,-30,68
-806,-13522,-9392,-174,34,90
-788,-13532,-9336,-318,36,68
-762,-13340,-9474,-314,22,24
-802,-13216,-9570,-294,4,-14
-818,-13182,-9608,-216,-4,-36
-720,-13234,-9490,-242,-10,-40
-668,-13232,-9494,-218,-24,-56
-748,-13162,-9592,-184,-90,-14
-744,-13162,-9590,-166,-58,-14
-802,-13186,-9610,-102,-46,-24
-754,-13160,-9532,-68,-22,-12
-672,-13178,-9594,-32,-44,-10
-740,-13154,-9614,20,-60,-2
-762,-13126,-9662,88,-64,6
-860,-13188,-9538,126,0,10
-828,-13262,-9578,140,4,-6
-756,-13226,-9556,120,68,-6
-754,-13128,-9650,170,48,-12
-728,-13126,-9628,260,70,-10
-648,-13222,-9558,328,48,10
