ax,ay,az,gx,gy,gz
-16554,1382,3726,828,1454,-46
-16722,986,2834,740,1086,76
-16586,348,2506,562,1252,218
-15992,-226,2382,340,1568,200
-15312,-440,2268,130,1710,150
-14678,-512,2178,-14,1662,178
-14654,-822,2344,-178,1238,84
-15094,-1012,2478,-198,814,-40
-15906,-502,2954,-104,202,-100
-16492,32,3250,246,-26,-188
-16236,-92,3538,544,-206,-154
-16038,-174,3880,1140,-658,-314
-15916,-424,3882,1716,-1222,-674
-15854,-396,3892,2120,-1668,-994
-16090,-540,3636,2558,-1998,-1180
-16276,-780,3514,2806,-1958,-1140
-16082,-814,3542,2914,-1780,-1090
-15906,-1038,3770,2978,-1700,-1058
-15778,-1106,4084,2900,-1704,-1032
-15640,-1288,4162,2714,-1764,-994
-15686,-982,4200,2516,-1816,-1024
-15750,-830,4538,2404,-1710,-1076
-15690,-624,4638,2306,-1846,-1130
-15868,-682,4772,2210,-1904,-1114
-16312,-528,4940,2016,-1828,-986
-16368,-452,4926,1878,-1714,-874
-16026,-336,4852,1830,-1442,-748
-15458,-450,5106,1892,-1086,-582
-15112,-588,5424,1946,-1000,-548
-14912,-744,5648,1944,-1200,-626
-14942,-814,5740,1814,-1484,-708
-15138,-694,5896,1658,-1728,-902
-15232,-494,6108,1516,-1868,-974
-15280,-344,6330,1576,-2112,-1100
-15396,-112,6584,1802,-2344,-1124
-15464,108,6766,1938,-2270,-1114
-15326,106,7064,2066,-1928,-940
-15036,-272,7124,2064,-1728,-722
-14712,-654,7114,2036,-1622,-598
-14534,-1070,7074,1960,-1484,-372
-14668,-1378,7244,1732,-1364,-94
-15140,-1544,7334,1226,-1246,28
-15432,-1396,7246,866,-1142,-48
-15566,-1182,7274,486,-628,-30
-15380,-1106,7502,218,-170,24
-15050,-1046,7666,-28,58,58
-14564,-1014,7754,-194,-28,76
-14502,-1164,7706,-212,-220,56
-14808,-1134,7618,-210,-318,16
-14970,-1004,7548,-146,-148,-22
