ax,ay,az,gx,gy,gz
-17268,-2810,3384,-1018,2036,-62
-16120,-2454,4968,-1614,2148,-1200
-14690,-768,5832,-1572,-2,-2146
-14634,440,5104,-1024,-3022,-2214
-15968,822,2838,-624,-4646,-1784
-17554,104,-172,458,-3764,-934
-17976,-1200,-728,1280,-494,-548
-16762,-748,476,1536,2140,198
-15648,-444,1546,1724,2392,1016
-14972,-428,2046,1748,1944,1822
-15016,-542,3804,968,1556,3924
-15214,-616,4938,2008,-40,2890
-16328,-1866,6366,916,-2234,1920
-18404,-1496,5904,-120,-4286,-362
-18802,-434,2048,-1038,-3160,-1348
-17316,-8,1272,-344,-810,-1560
-15760,-818,3302,394,2290,-1560
-14514,-842,5472,458,1108,-1436
-14246,-326,4742,-100,-1320,-1010
-15086,-462,3260,-510,-1940,-292
-15328,-534,3806,-776,-1480,258
-15748,-640,4860,-1200,-1604,472
-16238,-710,4612,-1578,-2194,550
-16446,-1082,3666,-1778,-2176,356
-16612,-1394,3738,-1994,-1180,158
-16970,-1346,5288,-2088,-240,42
-16968,-584,4554,-2094,-822,-296
-17186,552,3298,-1894,-402,-650
-16876,770,2364,-1236,988,-726
-15354,-194,2914,-550,2546,-308
-14548,-478,4594,-316,2186,-46
-14634,-522,5442,-578,-116,12
-15358,-280,4632,-666,-1648,-236
-16516,-382,4362,-724,-1556,-662
-16810,756,4684,-270,-854,-898
-16534,356,4410,62,-260,170
-15576,484,4332,524,170,892
-14972,478,4666,1104,-114,1014
-15090,1360,4772,1296,-1254,922
-15608,1986,4732,2000,-2286,1318
-16028,2376,4762,3130,-2904,1658
-16226,3210,4774,3440,-2722,1512
-16320,3534,4492,3486,-2568,1080
-16436,3178,4386,3380,-1638,552
-16110,1812,3758,2944,-1138,352
-15034,798,2042,1414,-346,-732
-14410,-278,1404,454,956,-2394
-14498,-670,1512,-408,2676,-4550
-16028,-778,4804,-1416,4788,-6160
-19526,-1906,8016,-1034,3904,-4668
