ax,ay,az,gx,gy,gz
-16248,1346,3164,1630,610,-280
-16108,1344,2858,1740,508,-144
-15976,1154,2570,1956,406,-90
-16018,1072,2578,2032,300,-64
-16198,1020,2580,2044,300,-4
-16444,1108,2568,1974,376,100
-16514,898,2502,1780,498,252
-16454,744,2474,1380,910,502
-16366,602,2614,968,1262,466
-16386,546,3328,522,1758,452
-16628,816,3990,508,2214,516
-16706,950,3576,402,2214,798
-16430,904,2404,-182,1964,1172
-16200,758,1728,-824,1816,1122
-15678,778,1476,-1642,1816,752
-15370,1480,2056,-2112,1502,338
-15772,1886,2712,-2270,560,232
-16340,2042,2598,-2396,-34,282
-16554,2434,2330,-2426,-8,574
-16534,2552,2050,-2136,256,974
-16352,2604,2164,-1862,290,1144
-16162,2208,2392,-1876,296,1392
-15990,2120,2436,-1904,128,1352
-15868,2210,2378,-1934,-120,1400
-15994,2106,2470,-1708,-294,1454
-15994,2188,2868,-1504,-452,1464
-15932,2432,3286,-1308,-700,1396
-15784,2496,3388,-986,-1062,1222
-15522,2052,3262,-680,-1498,1022
-15574,1584,3278,-426,-1664,694
-15592,1594,3344,-200,-1776,294
-15948,2000,3690,118,-1830,70
-16474,2272,3666,308,-1828,104
-17138,2236,2802,270,-1358,334
-17208,1976,2110,4,-464,608
-16742,1296,1926,-536,970,614
-16260,918,2380,-1138,1386,398
-15946,1184,2944,-1708,1214,132
-15684,1756,3316,-2022,772,-184
-15688,2346,3404,-2082,294,-388
-15936,2862,3366,-2002,-134,-326
-16116,2580,3046,-1862,-148,-236
-16158,2216,2854,-1730,150,-186
-15854,2264,2928,-1576,426,-420
-15756,2412,3154,-1480,386,-348
-15950,2174,3192,-1404,-58,16
-16104,2190,2876,-1456,-106,192
-16218,2342,2780,-1220,468,378
-16172,2508,3048,-944,912,456
-16148,2618,3276,-746,1072,650
