ax,ay,az,gx,gy,gz
-13946,-3728,-7976,44,54,4
-13866,-3700,-7910,70,70,20
-13906,-3760,-7876,40,12,42
-13828,-3824,-7908,34,34,50
-13850,-3852,-7942,32,24,10
-13918,-3840,-7962,0,0,-12
-13914,-3782,-7976,2,14,16
-13848,-3784,-7962,10,10,26
-13872,-3792,-7938,6,-26,24
-13944,-3774,-7964,18,-10,28
-13874,-3778,-7930,56,-10,40
-13862,-3786,-7976,42,-32,54
-13856,-3776,-7960,52,14,62
-13860,-3798,-7984,34,-16,52
-13834,-3746,-7996,28,-30,32
-13926,-3766,-7910,48,-42,16
-13932,-3784,-7910,12,-34,10
-13882,-3778,-7930,2,-42,12
-14022,-3794,-7918,36,-32,16
-13900,-3750,-7970,16,18,-4
-13820,-3724,-7948,42,54,2
-13836,-3762,-7916,12,-14,6
-13896,-3760,-7930,-20,-6,-16
-13854,-3798,-7944,-44,-52,-40
-13906,-3816,-8018,-68,-82,-14
-13930,-3860,-7986,-60,-48,2
-13864,-3804,-7988,-12,-64,-2
-13802,-3740,-7978,14,-118,-38
-13870,-3720,-7922,28,-136,-16
-13884,-3770,-7916,28,-120,10
-13868,-3734,-7992,36,-86,26
-13858,-3748,-7984,48,-74,14
-13872,-3792,-7982,10,-88,-14
-13946,-3816,-7970,14,-124,-12
-13964,-3784,-7894,0,-140,-30
-13874,-3770,-7798,-4,-124,-32
-13906,-3798,-7840,-24,-88,-10
-14028,-3868,-7950,2,-132,12
-14040,-3790,-7926,24,-80,-28
-13870,-3696,-8006,4,-38,-74
-13766,-3694,-7860,2,-54,-72
-13872,-3774,-7906,-20,-116,-28
-13970,-3872,-7908,-8,-74,-18
-13944,-3866,-7902,2,-78,-34
-13934,-3812,-7898,-10,-116,-54
-13918,-3780,-7920,-4,-84,-28
-13860,-3782,-7882,2,-60,-18
-13876,-3782,-7928,16,-122,-34
-13952,-3792,-7946,-24,-146,-10
-13940,-3784,-7912,40,-114,-12
