ax,ay,az,gx,gy,gz
-15852,502,3964,196,144,34
-15924,578,3958,214,-38,52
-16098,630,3832,184,-22,52
-16082,586,3814,192,44,88
-15962,456,3964,112,66,56
-15926,492,3984,84,-14,20
-16026,548,3866,94,-74,52
-16072,612,3802,128,38,26
-16010,596,3894,116,104,0
-15936,564,3962,94,86,32
-15976,606,3996,74,-20,74
-16044,604,3888,78,-12,58
-16004,564,3846,96,54,24
-15960,542,3932,80,90,18
-16000,546,3986,46,26,42
-16052,648,3826,64,42,78
-15998,604,3864,46,94,64
-15940,556,3934,20,84,24
-15974,582,3870,10,-10,14
-16028,662,3846,38,28,42
-16060,662,3852,28,58,48
-15970,626,3844,52,94,24
-15958,624,3928,34,68,4
-16024,704,3940,46,10,22
-16070,672,3870,40,46,46
-16018,646,3810,36,130,70
-15946,592,3902,58,112,54
-16002,620,3844,48,38,24
-16032,682,3782,52,138,38
-16010,708,3878,72,144,34
-15974,604,3828,76,114,26
-15952,652,3818,88,102,10
-16054,680,3852,94,40,-6
-16072,680,3748,126,90,-4
-16014,670,3740,134,172,44
-15980,628,3780,124,104,16
-15994,636,3812,142,42,0
-15990,644,3746,146,-6,-34
-16016,656,3728,152,26,-44
-15976,658,3816,174,52,-46
-15962,642,3832,164,0,-54
-16026,616,3808,146,-44,-40
-16072,638,3740,182,-38,-48
-16048,614,3680,194,-4,-36
-16014,588,3790,174,28,-52
-15966,522,3770,138,-54,-60
-15998,646,3688,172,-104,-66
-16040,664,3708,190,-126,-64
-16086,604,3716,208,-80,-38
-16074,500,3764,164,-96,-2
