ax,ay,az,gx,gy,gz
-9868,-12718,-2804,66,54,6
-9768,-12824,-2852,8,28,10
-9792,-12962,-2890,94,18,-2
-9654,-12928,-2832,112,30,16
-9690,-12922,-2736,120,28,68
-9750,-12966,-2782,140,30,56
-9832,-12984,-2810,100,-2,-6
-9874,-13138,-2762,86,24,-64
-9742,-12940,-2698,116,24,-120
-9600,-12694,-2692,98,-60,-68
-9682,-12838,-2750,126,-126,-30
-9818,-12940,-2814,158,-128,-60
-9750,-12918,-2806,198,-28,-80
-9604,-12844,-2666,188,-30,-8
-9660,-12982,-2670,86,-96,20
-9806,-12998,-2804,88,-56,10
-9782,-12992,-2690,94,42,28
-9676,-12862,-2630,84,26,36
-9776,-12890,-2662,24,-2,50
-9752,-13042,-2702,26,24,44
-9732,-13030,-2692,26,-32,18
-9752,-12842,-2726,100,-66,-14
-9702,-12874,-2658,70,-70,-6
-9710,-13048,-2638,14,-102,-14
-9708,-13034,-2720,-8,-144,-6
-9790,-12904,-2746,44,-152,18
-9934,-12812,-2828,46,48,24
-9696,-12728,-2822,54,76,-14
-9590,-12852,-2630,122,-22,-10
-9726,-12990,-2684,108,-86,12
-9786,-12958,-2764,110,62,52
-9692,-12950,-2728,148,50,42
-9724,-12964,-2702,164,-26,-2
-9832,-13028,-2660,90,-58,-28
-9752,-12960,-2620,78,-6,-34
-9672,-12832,-2654,98,-74,-18
-9770,-12886,-2708,92,-78,-4
-9784,-12996,-2742,100,-52,-4
-9708,-12950,-2742,142,-32,-16
-9616,-12872,-2616,160,-72,12
-9712,-13036,-2668,126,-120,8
-9874,-13076,-2760,132,-58,-20
-9792,-13012,-2738,124,18,-28
-9666,-12892,-2616,86,46,-14
-9722,-12934,-2550,90,16,8
-9770,-12948,-2662,110,-30,14
-9714,-12976,-2670,120,-10,10
-9730,-12980,-2602,96,-16,-24
-9738,-12976,-2558,72,-52,-42
-9670,-12946,-2590,76,-26,-8
