ax,ay,az,gx,gy,gz
-14444,4924,7856,3570,3220,-8698
-13956,4476,8064,3778,3884,-8236
-13358,3436,7898,4292,3862,-7602
-13350,2944,7938,4266,3414,-7152
-13834,2466,7794,4194,2476,-7736
-14052,1946,7574,3676,2294,-7752
-14298,2424,7392,3200,2440,-7736
-14604,2864,6720,3156,2372,-6782
-15462,3070,5804,3772,2472,-7008
-16370,2796,5510,3658,3432,-6412
-16246,2106,5678,3556,4260,-5464
-15670,1326,4996,3588,4838,-4676
-15684,1022,4216,3438,5374,-4704
-16412,806,4108,3166,6006,-4598
-16320,444,4768,2938,5830,-4742
-15330,512,5448,3466,4850,-5040
-14856,-670,3846,3496,3668,-4864
-13766,4036,4580,4580,3480,-4048
-13408,4220,5848,7956,2410,-4520
-15394,4018,6738,8448,1612,-2926
-19312,2854,5670,9514,940,-3060
-20148,990,4356,8488,2282,-2576
-17858,742,4294,7122,2744,-12
-15908,-454,3404,6584,3032,208
-15640,-1104,2882,5642,3340,-6
-14726,-1016,3308,3772,3458,-1366
-14610,-1550,2862,3096,3144,-1904
-14508,110,3248,2372,2938,-2424
-15126,-142,4552,1114,1806,-2478
-16738,-1726,3860,208,1194,-2812
-17766,-1030,2914,-1632,2068,-2240
-17384,-664,3302,-1730,2678,-1210
-16968,962,4622,-892,2260,330
-16814,2952,4830,800,1434,1154
-16148,3636,4260,2704,600,1482
-15260,2792,3778,4352,-496,1538
-15242,994,3954,5260,-638,1350
-15350,-742,3166,6176,-748,516
-15250,-1542,2618,6502,-326,-598
-15042,-1542,2644,6308,-348,-1432
-15074,-476,2892,5400,-678,-1008
-16204,-1088,3638,5230,-682,-40
-19132,-886,1982,4718,142,452
-18450,-1378,2402,3402,1932,1070
-16346,-2678,2504,3098,1452,172
-15412,-1872,2234,2906,668,-932
-15164,-628,1778,2210,378,-1018
-16490,12,1638,1724,728,-332
-17254,-198,2100,1454,586,-132
-17286,-458,1328,920,818,-528
