ax,ay,az,gx,gy,gz
-15146,958,5354,1152,10,-700
-15256,1000,4970,1046,-64,-630
-15284,898,4798,1042,-10,-456
-15416,1068,4930,1128,-108,-296
-15666,1240,4942,1294,-358,-258
-15706,1452,4826,1592,-386,-310
-15446,1324,4758,1744,-230,-258
-15266,1076,4872,1858,-346,-106
-15396,882,4768,2156,-548,-42
-15718,580,4386,2792,-794,-160
-15926,634,4734,2784,-956,-248
-16052,644,4446,2678,-930,-550
-16318,1130,4222,2714,-370,-916
-16382,1378,4362,2876,434,-962
-16098,1096,4808,3188,760,-652
-16192,604,4434,2962,432,-626
-16818,56,3518,2524,724,-1016
-16720,286,4092,1904,1130,-1120
-16034,178,4714,1742,1168,-804
-15588,560,4696,1290,664,-206
-15650,966,4180,1122,706,106
-15384,928,4546,1098,986,96
-15138,828,4914,1022,526,-16
-15538,886,4536,900,10,46
-16170,854,4170,920,20,260
-15998,920,4158,802,182,288
-15658,954,4394,524,136,230
-15570,934,4612,338,24,180
-15532,974,4784,54,-78,288
-15488,1156,4730,-24,-164,436
-15800,1086,4680,-72,-138,506
-15914,1128,4484,-204,72,468
-15812,1234,4588,-258,152,530
-15640,1412,4624,-358,102,630
-15722,1482,4634,-284,54,660
-15806,1380,4436,-90,-12,620
-15850,1618,4642,-54,46,450
-15778,1916,4532,50,72,484
-15520,1294,4442,362,70,552
-15692,1112,4610,512,-130,538
-15842,1122,4438,414,-178,352
-15832,1284,4346,234,-78,338
-15760,1172,4672,238,-94,540
-15742,1192,4838,180,-176,392
-15744,1328,5006,166,-288,268
-15828,1518,4946,144,-388,194
-15988,1426,4726,20,-370,216
-15960,1234,4506,-114,-138,204
-15726,1186,4744,-152,2,160
-15458,1232,4884,-304,-86,114
