ax,ay,az,gx,gy,gz
-15266,78,1680,2714,-438,120
-15534,146,1918,2406,-1112,-366
-15710,-58,1368,1988,-1454,-658
-15916,-484,1246,1468,-1518,-832
-16392,-828,1628,1274,-1498,-842
-17266,-646,2276,1266,-1318,-574
-18238,-518,3224,1548,-398,112
-17908,-228,3198,1842,788,518
-16582,-410,3030,2230,1568,876
-16120,-394,2876,2078,1072,988
-15846,-110,1840,1654,16,936
-15504,2,1640,1088,-526,862
-14936,-334,1756,604,-1292,646
-14774,-1372,1730,-128,-2468,184
-15466,-1700,1810,-786,-3176,-442
-16702,-1500,1626,-1436,-3252,-790
-17582,-1148,1522,-1812,-2324,-480
-18310,-956,2548,-1790,-898,-14
-18274,296,3456,-932,1346,382
-16986,1030,4278,254,2852,620
-15432,1040,4206,1262,1996,128
-15018,738,2004,1500,726,-180
-15030,-174,1132,1256,-324,-66
-15430,-744,1314,636,-1208,-134
-15940,-660,1140,118,-1608,-150
-16456,-740,1388,-328,-1328,-282
-16548,-1074,1256,-806,-982,-394
-16646,-944,1088,-1314,-258,-396
-16938,-318,2090,-1300,520,-360
-17388,412,3550,-958,1268,-120
-17644,1210,4566,-204,2030,282
-17236,1038,4064,916,2204,528
-15772,298,2086,1238,1448,772
-14976,-576,960,908,370,886
-14942,-778,598,-214,-1056,594
-15518,-384,806,-848,-1528,242
-16164,134,1194,-1042,-1584,-108
-16490,246,1062,-992,-1378,-284
-16602,414,1018,-880,-878,-360
-16680,722,1130,-600,-246,-338
-16854,1302,1662,-60,70,-124
-17318,1372,3022,1118,564,390
-17462,904,4040,2316,1306,752
-17264,552,4138,3092,1990,676
-16382,440,3668,3726,2492,446
-15386,-260,2952,3900,2108,488
-14956,-1244,2482,2864,550,260
-16338,-994,1434,2010,-164,-90
-16674,-792,1490,922,94,-138
-16026,-1108,2056,182,-98,-90
