ax,ay,az,gx,gy,gz
-16000,526,3894,132,48,30
-15952,448,3932,92,22,38
-15938,490,3894,76,-4,38
-15902,530,3922,128,42,14
-15968,536,3934,140,-6,2
-16076,558,3876,120,46,26
-16088,572,3884,84,36,64
-16068,538,3896,56,60,68
-15976,532,3868,72,96,38
-15944,552,3874,80,76,18
-15978,514,3912,68,50,26
-16002,542,3842,24,12,26
-15966,594,3868,28,14,34
-15984,538,3888,18,22,20
-16036,564,3882,22,8,8
-16112,584,3832,20,-24,52
-16088,544,3814,-22,50,62
-15922,598,3902,-20,88,50
-15932,558,3916,18,40,22
-15962,586,3858,34,24,20
-16014,594,3804,38,46,10
-16002,584,3862,68,32,40
-16020,588,3834,50,-4,22
-16032,562,3868,54,-12,24
-16028,570,3874,40,4,20
-16044,602,3876,78,4,20
-16030,582,3822,64,30,18
-15978,570,3826,46,64,42
-15976,516,3872,18,18,48
-15982,574,3774,54,-6,2
-15988,616,3830,74,-10,-6
-16038,578,3828,78,-2,10
-16040,604,3848,84,-12,24
-16054,614,3858,70,-56,30
-16026,560,3810,40,0,34
-15972,522,3818,42,58,26
-15952,568,3884,66,12,-2
-16010,562,3836,64,-32,-4
-16070,502,3774,-16,-54,4
-16074,548,3812,-34,-30,20
-15988,572,3866,-14,-12,22
-15976,556,3886,-10,-24,4
-16010,570,3848,-10,-40,12
-16016,588,3780,-18,-2,24
-15970,606,3832,6,22,18
-15982,590,3878,8,-32,2
-16068,532,3856,-2,-56,6
-16092,558,3804,-22,-24,34
-15990,550,3820,6,34,28
-15994,576,3872,6,14,28
