ax,ay,az,gx,gy,gz
-15468,1372,5504,46,-446,-122
-15220,1642,6094,226,-648,94
-14896,1322,6352,72,-1108,58
-14786,1058,6310,-276,-1358,62
-15114,290,6316,-864,-1400,-286
-15452,400,6190,-1436,-1430,-564
-15546,700,5760,-1636,-1150,-994
-15852,2002,5536,-1534,-446,-1132
-16022,2568,5236,-1096,586,-936
-15966,2196,5600,-416,1540,-646
-15840,1754,5994,-188,1438,-286
-15726,1394,5936,-132,1006,164
-15600,518,5510,-168,378,538
-15348,400,5208,-474,224,674
-15156,274,5340,-552,202,746
-15066,276,5514,-392,86,724
-15058,142,5652,-264,-32,780
-15090,286,5828,-202,-86,944
-15142,4,5740,-222,-236,986
-15408,-500,5622,-590,-104,726
-15682,-1100,5492,-1220,158,428
-16170,-1726,5402,-2148,458,174
-16406,-1440,5488,-2704,590,-80
-16100,-16,5426,-2756,862,-244
-15580,676,5444,-2324,1322,-108
-15024,262,5724,-1958,1376,-34
-14820,-72,6110,-1894,806,-284
-14982,382,5846,-1842,114,-466
-15418,640,5066,-1550,-8,-150
-15560,478,4928,-1140,524,198
-15608,200,5494,-758,554,612
-15558,104,5644,-652,64,644
-15434,102,5360,-724,-180,532
-15428,92,5420,-834,-290,386
-15540,2,5638,-886,-448,258
-15632,210,5448,-956,-486,266
-15542,348,5248,-870,-170,380
-15414,252,5440,-720,102,364
-15378,382,5838,-644,-128,228
-15530,436,5604,-614,-476,176
-15722,330,5286,-610,-408,228
-15766,116,5382,-580,-196,360
-15934,134,5638,-508,-176,358
-15834,230,5498,-568,-118,224
-15546,304,5370,-560,108,174
-15290,188,5598,-486,228,170
-15440,146,5726,-436,-2,174
-15732,322,5616,-310,-284,186
-15712,378,5408,-212,-224,238
-15624,244,5380,-78,-86,266
