ax,ay,az,gx,gy,gz
-15516,224,5782,-396,166,66
-15644,378,5756,-370,260,148
-15730,420,5748,-312,344,184
-15754,486,5678,-202,542,258
-15678,542,5568,-86,696,296
-15560,516,5504,82,798,284
-15538,534,5394,182,798,216
-15560,536,5298,286,760,168
-15652,568,5184,366,684,130
-15612,630,5078,432,636,136
-15550,598,4984,506,552,120
-15538,538,4876,546,392,72
-15652,532,4692,546,256,30
-15694,590,4582,562,214,60
-15738,476,4564,524,142,102
-15792,410,4538,474,-12,96
-15948,344,4420,400,-78,22
-15922,382,4246,250,-86,-12
-15878,436,4256,158,-74,4
-15968,370,4422,122,-56,16
-16178,482,4552,70,-136,-14
-15884,608,4060,36,-6,-22
-15436,642,4306,98,366,-70
-15550,610,4828,76,144,-70
-16062,522,4730,-40,-236,30
-16368,260,4420,-234,-28,192
-16140,102,4402,-374,362,290
-15562,256,4596,-588,290,220
-15484,426,4638,-772,-4,148
-15902,422,4586,-928,52,140
-16068,492,4688,-976,330,190
-15800,562,4824,-1036,420,304
-15506,638,4890,-964,356,320
-15380,660,4948,-826,192,280
-15520,678,4934,-598,-140,140
-15732,830,4762,-442,-306,98
-15828,750,4592,-256,-240,64
-15844,612,4690,-102,-182,64
-15846,594,4802,24,-134,32
-15882,550,4850,138,-74,32
-15854,584,4772,202,-32,58
-15680,534,4714,272,-42,54
-15468,584,4746,318,-174,-40
-15394,664,4896,388,-546,-280
-15536,830,4886,438,-906,-406
-15646,914,4840,514,-1084,-512
-15660,976,4862,706,-1108,-548
-15700,954,5012,912,-1060,-572
-15868,808,5168,1122,-1008,-574
-16064,628,5116,1224,-842,-520
