ax,ay,az,gx,gy,gz
-16964,542,2212,-384,74,1202
-16900,922,2146,-340,218,940
-16634,1238,2034,-44,290,506
-16482,1284,1858,234,210,274
-16288,1216,1628,408,84,144
-16126,1164,1516,516,-56,108
-15994,920,1622,628,-88,18
-16036,902,1608,696,-198,72
-16292,908,1550,746,-240,250
-16376,976,1414,688,2,462
-16190,1044,1672,738,184,488
-16132,1386,1920,638,112,506
-16578,1346,1642,630,20,626
-16838,1308,1304,632,208,704
-16516,1208,1444,698,588,522
-16212,1174,1738,820,556,326
-16150,1226,1854,842,300,160
-16324,1038,1488,762,12,80
-16476,974,1424,680,-54,112
-16356,974,1568,666,-44,108
-16266,1114,1690,718,-74,132
-16272,1264,1472,802,-98,192
-16406,1236,1396,852,-92,204
-16564,1284,1544,898,-258,160
-16606,1208,1502,964,-554,48
-16596,1192,1582,966,-634,-90
-16412,1290,1650,942,-676,-332
-16358,1372,1732,1020,-708,-524
-16346,1360,1720,966,-734,-564
-16262,1310,1730,874,-720,-434
-16152,1108,1746,778,-584,-200
-16304,938,1732,562,-512,-20
-16468,926,1634,426,-444,186
-16260,776,1604,182,-262,424
-15786,802,1976,-46,-180,408
-15804,828,2344,-128,-594,276
-16326,984,2304,-350,-972,114
-16674,996,1992,-516,-828,114
-16768,852,1868,-540,-438,236
-16500,702,1954,-542,-196,194
-16208,902,2294,-688,-184,90
-16310,1006,2270,-794,-264,200
-16414,900,2068,-790,-114,342
-16076,1200,2140,-744,-20,280
-15756,1262,2390,-700,-364,208
-16106,1558,2360,-682,-1156,-42
-16410,1452,2112,-492,-1304,-58
-16560,1444,2096,-506,-1234,-104
-16174,1882,2076,-296,-982,-54
-16034,1282,2288,194,-718,110
