ax,ay,az,gx,gy,gz
-15260,-594,6042,-474,-744,-448
-15368,-350,5976,-402,-692,-428
-15472,-252,6072,-180,-520,-380
-15342,-428,6304,42,-358,-298
-15186,-560,6422,152,-418,-204
-15052,-984,6364,270,-548,-276
-15168,-1074,6344,304,-662,-282
-15368,-916,6318,370,-632,-246
-15524,-758,6280,532,-528,-266
-15358,-734,6340,694,-526,-336
-15136,-454,6464,816,-642,-342
-15020,-640,6610,1042,-896,-536
-15056,-558,6784,1058,-1158,-602
-15296,-660,6826,1060,-1102,-632
-15348,-886,6950,986,-738,-624
-15150,-862,7416,974,-322,-628
-14938,-802,7620,856,-326,-718
-14968,-964,7500,598,-526,-994
-15156,-956,7046,348,-630,-1162
-15364,-800,6848,218,-466,-1220
-15384,-216,6764,368,-284,-1306
-15252,186,6572,502,-52,-1332
-15084,244,6520,634,238,-1316
-15124,36,6470,686,252,-1170
-15330,-366,6338,590,286,-994
-15720,-1050,5914,482,498,-584
-15914,-1936,5380,50,896,-172
-16070,-2774,5388,-742,1768,254
-15896,-3206,5548,-1396,2270,460
-15620,-3570,5206,-2402,2356,498
-15500,-3326,5040,-3258,2176,474
-15480,-2726,4932,-3922,2088,626
-15218,-1988,5128,-4404,2012,940
-14986,-1600,5326,-4510,1776,1160
-14940,-1266,5248,-4186,1254,1336
-15054,-1020,5112,-3616,896,1362
-15262,-796,5154,-2988,702,1290
-15460,-802,5152,-2060,598,1328
-15544,-952,5246,-1364,704,1348
-15460,-1248,5398,-682,660,1248
-15374,-1354,5520,-226,518,1112
-15528,-1488,5554,176,396,1020
-15760,-1594,5594,334,428,958
-15868,-1588,5542,420,554,908
-15700,-1636,5546,434,674,924
-15612,-1510,5532,356,672,954
-15504,-1400,5386,322,586,944
-15490,-1258,5334,296,636,982
-15622,-1108,5262,236,670,1048
-15732,-962,5148,246,768,912
