ax,ay,az,gx,gy,gz
7618,-6432,-9186,12646,1350,-100
1150,-9456,-9886,16902,-314,698
-3590,-15056,-8242,11596,684,-848
4338,-12664,-7158,6280,2434,658
6102,-17612,-6954,10524,1376,1612
4358,-19324,-4324,7418,508,1748
3552,-18042,-5926,5254,-1860,1942
626,-17426,-6700,3614,-2384,2110
-972,-15020,-8098,1960,-1316,2566
-122,-15314,-8220,1142,430,3422
1110,-15544,-7840,820,480,2966
336,-13002,-8320,904,-304,2376
-820,-14044,-8184,1830,-686,2246
-2636,-13844,-8202,1452,-1734,1622
-3302,-14448,-8326,-96,-1018,1158
-3080,-15138,-8794,-1280,-592,474
-2558,-15340,-9628,-1714,-188,-184
-3790,-14072,-9696,-2630,902,178
-3544,-12244,-8954,-2662,2122,1718
-2566,-13674,-8944,-3032,2190,1934
-1856,-14042,-8770,-2984,1866,1408
-1120,-15062,-8834,-2230,1746,508
-802,-14830,-8708,-2128,1410,-510
-728,-13072,-9346,-2272,1274,-880
-330,-12782,-9226,-2262,1208,-402
58,-13196,-9450,-2414,702,-188
-64,-13096,-10278,-2092,714,-226
138,-12534,-10282,-1762,964,-302
564,-12194,-9524,-1606,566,-230
244,-12536,-9842,-1506,-62,-258
-430,-12482,-10644,-1248,-308,-206
-480,-12494,-11050,-896,-280,172
-306,-12872,-10148,-504,260,268
116,-12614,-10022,-592,450,6
132,-11938,-10190,-524,78,60
-486,-11592,-11000,92,-218,184
-878,-11936,-10936,518,-6,248
-722,-12086,-10422,772,290,218
-640,-11938,-10310,1046,170,366
-338,-12728,-10116,1324,-236,426
-508,-13092,-9838,1500,-310,172
-976,-12752,-9916,1464,-248,-102
-1100,-12662,-10390,1600,-328,-52
-760,-13116,-9898,1776,-134,-146
-684,-13226,-9526,1798,-76,-198
-814,-13062,-9860,1900,-378,-80
-1174,-13704,-9828,2408,-240,178
-1134,-14124,-8954,2088,442,204
-720,-14140,-8896,1442,764,62
-438,-13810,-8930,1042,590,-72
