ax,ay,az,gx,gy,gz
-15652,-856,3664,-1804,-1080,-8
-16018,-300,3288,-2160,-1214,-50
-16600,492,2930,-2386,-1036,170
-16766,564,2516,-2094,-616,-46
-16214,942,2576,-1708,6,-378
-16032,1160,2792,-1018,214,-794
-16152,1912,2992,-170,688,-1656
-16578,1634,2808,1024,1458,-2332
-16814,1652,3216,1950,2632,-2646
-16542,1268,3316,3562,3718,-2770
-16234,1706,2976,4174,4500,-3064
-16408,1484,2824,4226,4954,-2794
-16408,1142,3064,3976,4882,-2536
-16252,886,3284,3878,4008,-1958
-16274,1070,3218,3724,2696,-1234
-16316,764,3748,3322,1618,-346
-16048,176,4184,3082,224,284
-16064,180,4286,2904,-604,608
-16240,130,4082,2712,-866,994
-16036,138,4106,2610,-816,1232
-15620,114,4336,2550,-914,1204
-15100,298,4202,2690,-1132,820
-14972,468,4154,2884,-1330,408
-15040,652,4194,3116,-1782,-4
-15536,754,4402,3320,-2216,-108
-16176,1298,4232,3364,-2880,-18
-17208,1082,3248,3228,-3326,280
-17216,1260,2468,3090,-2966,708
-16804,1450,2800,3164,-2208,1270
-16506,1674,3366,3264,-1968,1304
-16584,1462,3510,3176,-1902,1238
-16362,950,3088,2916,-1930,1096
-16040,224,2496,2438,-1694,1064
-16026,260,2480,1764,-946,610
-16212,-112,2784,1054,-660,400
-16326,-560,2974,-114,-346,10
-15996,-454,2932,-914,-114,-50
-15682,44,3440,-1722,72,178
-15566,244,3766,-2204,-252,244
-15594,438,3874,-2550,-864,122
-15936,1356,3622,-2492,-1230,16
-16184,1804,3510,-2060,-756,-96
-16178,2308,3860,-1330,58,-300
-16086,2390,4100,-664,506,-698
-16286,2958,5322,474,1166,-1210
-16124,2732,6336,1684,1376,-1594
-15430,2844,6762,2878,1136,-1828
-15212,1878,6812,4192,16,-1676
-15444,352,6040,4312,-410,-1682
-15528,-1700,4772,3522,-258,-1726
