ax,ay,az,gx,gy,gz
-12668,6496,-8186,46,16,12
-12668,6496,-8206,42,22,8
-12666,6486,-8160,50,8,8
-12662,6478,-8148,40,6,0
-12640,6486,-8176,38,14,0
-12634,6514,-8224,36,16,6
-12674,6524,-8234,44,32,4
-12660,6514,-8240,36,-2,10
-12666,6484,-8166,34,-20,2
-12648,6492,-8162,14,-10,14
-12616,6508,-8166,22,0,12
-12674,6500,-8186,20,-30,6
-12668,6560,-8222,14,-38,2
-12642,6490,-8240,56,0,10
-12652,6516,-8268,36,-36,12
-12676,6508,-8242,0,-62,20
-12636,6532,-8192,-16,-78,14
-12642,6548,-8142,-8,-76,6
-12614,6484,-8160,4,-88,0
-12644,6526,-8178,-6,-84,-6
-12678,6532,-8178,-16,-94,-2
-12646,6490,-8210,-14,-84,0
-12660,6520,-8210,-26,-112,-12
-12670,6512,-8158,-16,-92,-14
-12640,6500,-8166,-6,-106,-12
-12678,6498,-8174,-20,-132,-16
-12690,6508,-8142,-28,-138,-2
-12662,6522,-8164,-28,-134,-14
-12682,6522,-8170,-42,-138,6
-12708,6494,-8192,-42,-144,12
-12708,6526,-8106,-44,-136,2
-12706,6526,-8086,-56,-144,2
-12704,6512,-8094,-58,-142,2
-12672,6526,-8112,-34,-120,-2
-12696,6530,-8118,-42,-110,-24
-12688,6532,-8100,-26,-110,4
-12730,6526,-8106,-38,-128,20
-12718,6550,-8106,-66,-104,24
-12700,6536,-8102,-30,-74,26
-12726,6548,-8098,-12,-116,8
-12722,6572,-8084,-24,-138,-12
-12712,6526,-8066,-12,-118,14
-12702,6554,-8114,-2,-112,10
-12694,6538,-8070,-36,-78,20
-12660,6550,-8070,-32,-62,12
-12698,6570,-8080,-28,-72,14
-12794,6550,-8040,-4,-66,8
-12808,6536,-8040,-2,-54,6
-12768,6524,-8056,0,-34,-6
-12722,6516,-8054,4,-36,-2
