ax,ay,az,gx,gy,gz
-15888,-516,4256,108,38,0
-15930,-504,4170,96,-2,6
-15936,-490,4220,94,50,2
-15860,-466,4274,98,34,4
-15904,-422,4218,86,-42,4
-16012,-432,4150,102,-52,4
-16012,-440,4168,104,16,14
-15944,-418,4264,122,118,34
-15866,-432,4268,112,100,38
-15856,-434,4254,120,52,32
-15940,-468,4226,144,52,36
-15994,-456,4210,130,64,14
-15956,-398,4186,130,130,34
-15850,-376,4186,140,118,36
-15858,-426,4172,164,4,0
-15918,-432,4152,166,-38,-12
-16004,-398,4120,178,-30,-30
-16004,-376,4096,234,28,-26
-15970,-372,4128,270,64,-22
-15934,-428,4144,314,74,-18
-15914,-468,4158,314,50,2
-16018,-484,4158,294,24,-14
-16038,-490,4120,260,60,2
-15918,-470,4084,232,94,10
-15852,-514,4080,204,76,16
-15816,-550,4102,112,-8,36
-15938,-570,4100,36,-118,8
-15992,-476,4092,-8,-74,-10
-15988,-404,4182,8,26,-26
-15968,-422,4182,38,34,16
-15948,-458,4188,58,-10,32
-15922,-456,4154,44,-44,20
-15954,-428,4080,24,-38,6
-15922,-438,4108,36,-28,-12
-15924,-438,4144,46,-22,-2
-15922,-452,4136,68,-56,-32
-15988,-444,4124,58,-92,-6
-16028,-424,4084,38,-86,-2
-15984,-402,4090,62,-20,-18
-15910,-390,4146,68,36,6
-15846,-434,4230,98,-6,6
-15906,-454,4170,106,-80,-2
-15932,-458,4070,90,-128,-14
-15984,-444,4056,74,-104,-36
-15948,-396,4088,76,-82,-24
-15946,-394,4138,96,-110,-26
-15938,-418,4088,78,-146,-18
-15994,-460,4096,42,-120,-24
-15932,-482,4154,10,-90,12
-15864,-422,4150,6,-94,-6
