ax,ay,az,gx,gy,gz
-15774,412,4876,-324,-358,-64
-15768,664,5192,-254,-176,-90
-15674,706,5130,-158,-200,-110
-15762,748,5070,34,-38,-54
-15812,686,5184,170,90,-8
-15746,576,5244,240,126,52
-15662,376,5172,244,102,66
-15642,284,5214,264,116,40
-15564,250,5208,274,114,-6
-15550,240,5230,214,88,-12
-15492,160,5182,122,-108,-26
-15544,160,5130,80,-262,-60
-15598,220,5174,68,-328,-82
-15756,280,5202,94,-330,-70
-15788,334,5116,118,-270,-78
-15728,340,5038,160,-102,-82
-15654,312,5108,142,-78,-64
-15674,324,5116,130,-124,-68
-15716,330,5058,84,-148,-60
-15726,354,5066,58,-106,-40
-15706,386,5154,76,-42,-26
-15714,390,5212,88,-22,-12
-15586,332,5254,98,8,-28
-15564,332,5272,100,-20,-10
-15610,354,5318,118,-6,8
-15638,352,5356,104,38,6
-15604,318,5408,72,74,14
-15600,188,5332,16,2,26
-15634,168,5250,-40,-68,56
-15580,288,5238,-86,-8,90
-15382,318,5274,-86,70,90
-15380,258,5446,-172,-106,34
-15742,164,5186,-320,-512,26
-15880,250,4942,-370,-430,34
-15804,464,5092,-338,-142,38
-15642,568,5254,-232,-56,16
-15624,678,5228,-16,-6,-64
-15706,708,5140,136,90,-40
-15808,680,5208,258,196,10
-15714,508,5304,370,234,20
-15616,398,5316,428,232,4
-15464,300,5390,450,244,-6
-15450,216,5334,390,94,16
-15576,70,5124,218,-70,10
-15598,56,5212,82,-102,-16
-15640,136,5386,-2,-120,-28
-15684,206,5422,-68,-98,-26
-15700,278,5330,-60,-42,-8
-15676,288,5262,-16,50,14
-15594,358,5208,-6,20,-8
